caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
105,343,.5655,33927.8741,"Own your home with a mortgage or a loan","Yes","WinPC","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,85,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$15,000 to $19,999","Widowed","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,1,0,0,"Not working retired"
110,105,1.2495,74970.1214,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,65,"65-74","60+","Masters degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",1,"A one-family house attached to one or more houses","$75,000 to $84,999","Married","Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","mn",0,0,1,0,0,"Working as a paid employee"
111,194,.7811,46863.5903,"Own your home free and clear (without a mortgage or loan)","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",46,"45-54","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$40,000 to $49,999","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working self-employed"
112,273,.5479,32875.9919,"Own your home free and clear (without a mortgage or loan)","Yes","Mac","Just getting by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat higher",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,79,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$25,000 to $29,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","pa",0,0,2,0,0,"Not working retired"
115,283,.7722,46329.8664,"Own your home with a mortgage or a loan","No","Mac","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","Yes","No",,"Not enough precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Applied for but not received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, cashed out",58,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$200,000 to $249,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working as a paid employee"
118,210,.8955,53729.137,"Own your home with a mortgage or a loan","No","iPhone","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","3 to 5","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",52,"45-54","45-59","Associate degree","Some college","White, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$40,000 to $49,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,1,3,0,0,"Working as a paid employee"
125,229,.6886,41316.5403,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",59,"55-64","45-59","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",1,"Boat, RV, van, etc.","$125,000 to $149,999","Divorced","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,1,0,0,"Working as a paid employee"
127,326,.9983,59896.8988,"Own your home with a mortgage or a loan","Yes","WinPC","Finding it difficult to get by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Not at all confident","Self-employed","None","None","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Much lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,73,"65-74","60+","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$40,000 to $49,999","Married","Non-Metro","West","Pacific","Owned or being bought by you or someone in your household","or",0,0,2,0,0,"Not working retired"
128,54560,.7,42002.4537,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not working, but being paid my normal wages",,,"No","No","No","No","No",,"Not enough precautions","Cause you to work more","Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",46,"45-54","45-59","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$150,000 to $174,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,1,2,0,0,"Working as a paid employee"
130,328,1.2792,76750.6154,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,83,"75+","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$125,000 to $149,999","Widowed","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","md",0,0,2,1,1,"Not working retired"
