GP19A9,German,English,Unit
1039 16 000,"Erbsen, anders als in Essig zubereitet oder haltbar gemacht, nicht gefroren","Peas, unlike prepared in vinegar or made durable, not frozen",kg
1039 17 100,"Tomaten, ganz oder in Stücken","Tomatoes, whole or in pieces",kg
1039 17 210,Tomatenmark,Tomato,kg
1039 17 250,Konzentrierte Tomaten,Concentrated tomatoes,kg
1039 17 301,Zuchtpilzkonserven (z.B. Champignonkonserven),Breeding mushroom canned (e.g. mushroom canned manner),kg
1039 17 309,Andere Pilze und Trüffeln,Other mushrooms and truffles,kg
1039 17 400,"Anderes Gemüse, gefroren, (ohne Kartoffelerzeugnisse)","Other vegetables, frozen, (without potato products)",kg
1039 17 500,Sauerkraut,sauerkraut,kg
1039 17 600,Spargel,asparagus,kg
1039 17 700,Oliven,Olive,kg
1039 17 800,Zuckermais,Corn,kg
1039 17 903,Nahrungsmittelzubereitungen von nicht gefrorenem Gemüse,Food preparations of non -frozen vegetables,kg
1039 17 909,"Anderes Gemüse und Mischungen von Gemüse (ohne Zubereitungen), nicht gefroren","Other vegetables and mixtures of vegetables (without preparations), not frozen",kg
1039 18 001,Gurken,Cucumber,kg
1039 18 003,Gemüsepaprika oder Paprika ohne brennenden Geschmack,Vegetable peppers or peppers without burning taste,kg
1039 18 004,"Gemüsesalat, mit Essig haltbar gemacht, auch auf Mayonnaisebasis","Vegetable salad, made with vinegar, also on mayonnaise base",kg
1039 18 005,Rote Beete (Beta vulgaris var. conditiva),Beetroot (Beta vulgaris var.,kg
1039 18 007,Rotkohl,Red cabbage,kg
1039 18 008,"Kartoffelsalat, mit Essig haltbar gemacht, auch auf Mayonnaisebasis","Potato salad, made durable with vinegar, also on mayonnaise base",kg
1039 18 009,Anderes Gemüse u.a. Früchte (z.B. Champignons in Essig eingelegt),"Other vegetables, including fruits (e.g. mushrooms inserted into vinegar)",kg
1039 21 000,"Früchte und Nüsse, auch in Wasser oder Dampf gekocht, gefroren","Fruits and nuts, also cooked in water or steam, frozen",kg
1039 22 300,aus Zitrusfrüchten,From citrus fruits,kg
1039 22 901,Apfelmus,applesauce,kg
1039 22 903,Pflaumenmus,Plum jam,kg
1039 22 909,"aus anderen Früchten, a.n.g.","From other fruits, A.N.G.",kg
1039 23 300,Erdnüsse,peanuts,kg
1039 23 900,Schalenfrüchte u.a. Samen (einschl. Mischungen),Shell fruits including seeds (including mixtures),kg
1039 24 100,"Schalen von Zitrusfrüchten oder Melonen, frisch, gefroren, getrocknet oder zur vorläufigen Haltbarmachung in Salzlake oder in Wasser mit einem Zusatz von anderen Stoffen eingelegt","Shells of citrus fruits or melons, fresh, frozen, dried or for provisional preservation in salt lake or in water with an addition of other fabrics",kg
1039 24 300,"Andere Früchte und Nüsse, vorläufig haltbar gemacht, zum unmittelbaren Genuss nicht geeignet","Other fruits and nuts, made temporary, not suitable for direct pleasure",kg
1039 25 000,"Erdnüsse und Nüsse, geschält und Sonnenblumenkerne, geschält","Peanuts and nuts, peeled and sunflower seeds, peeled",kg
1039 29 100,"Weintrauben (Korinthen, Sultaninen u.a. Weintrauben), getrocknet","Grapes (Corinths, Sultanine etc. grapes), dried",kg
1039 29 200,"Früchte (ohne Datteln, Ananas, Avocados, Guaven, Mangos, Mangostane, Zitrusfrüchte, Pampelmusen), getrocknet; Mischungen von getrockneten Früchten oder Schalenfrüchten","Fruits (without dattles, pineapple, avocados, guaves, mangoes, mangostans, citrus fruits, pampus muscles) dried; Mixtures of dried fruits or shell fruits",kg
1039 29 503,Pflaumenkonserven,Plum monkeys,kg
1039 29 504,Kirschenkonserven,Cherry,kg
1039 29 506,"Andere Fruchtkonserven (z.B. Äpfel, Ananas, Zitrusfrüchte, Birnen, Aprikosen, Pfirsiche, Erdbeeren)","Other fruits (e.g. apples, pineapple, citrus fruits, pears, apricots, peaches, strawberries)",kg
1039 29 507,Fruchtzubereitungen für die Milch- und Eiskremindustrie,Fruit supplies for the milk and ice cream industry,kg
1039 29 508,"Andere Fruchtzubereitungen (z.B. aus Sauer-, Süßkirschen, Pflaumen, Äpfeln, Birnen, Aprikosen, Pfirsichen, einschl. Brugnolen und Nektarinen, Erdbeeren, Ananas, Zitrusfrüchten)","Other fruit supplements (e.g. from sour, sweet cherries, plums, apples, pears, apricots, peaches, including brugnoles and nectarines, strawberries, pineapple, citrus fruits)",kg
1039 30 000,"Pflanzliche Stoffe, Abfälle, Rückstände und Nebenerzeugnisse, auch in Form von Pellets zur Verfütterung, a.n.g.","Vegetable fabrics, waste, residues and sub -products, also in the form of pellets for feeding, A.N.G.",kg
1039 91 000,Kochen u.a. Zubereitungsleistungen zur Haltbarmachung von Obst und Gemüse,"Cooking, among other things, preparation services to keep fruit and vegetables",EUR
1041 11 000,"Schmalzstearin, Schmalzöl, Oleostearin, Oleomargarin und Talgöl, weder emulgiert, vermischt noch anders verarbeitet","Lard stear, lard oil, oleostear, oleomargarine and talg oil, neither emulsified, mixed nor processed differently",t
1041 12 000,"Fette und Öle sowie deren Fraktionen, von Fischen oder Meeressäugetieren, auch raffiniert, nicht chemisch modifiziert","Fats and oils as well as their factions, fishing or marine mammals, also cleverly, not chemically modified",t
1041 19 000,"Andere tierische Fette und Öle sowie deren Fraktionen, auch raffiniert, nicht chemisch modifiziert","Other animal fats and oils as well as their factions, also sophisticated, not chemically modified",t
1041 21 100,"Rohes Erdnussöl und seine Fraktionen, nicht chemisch modifiziert","Raw peanut oil and its factions, not chemically modified",t
1041 22 100,Nicht behandeltes Olivenöl und seine Fraktionen,Unattended olive oil and its factions,t
1041 22 200,"Andere rohe Öle und ihre Fraktionen, ausschl. aus Oliven gewonnen (einschl. Mischungen dieser Öle mit nicht behandelten raffinierten Olivenölen), auch raffiniert, jedoch nicht chemisch modifiziert","Other raw oils and their political groups, excluded from olives (including mixtures of these oils with non -treated refined olive oils), also refined, but not chemically modified",t
1041 23 000,"Rohes Sonnenblumenöl und Safloröl (Distelöl) und seine Fraktionen, nicht chemisch modifiziert","Raw sunflower oil and saflor oil (thistle oil) and its factions, not chemically modified",t
1041 24 101,"zu technischen oder industriellen Zwecken, ausgenommen zum Herstellen von Lebensmitteln","for technical or industrial purposes, except for the production of food",t
1041 24 102,"anderes Raps-, Rübsen- und Senföl zum Herstellen von Lebensmitteln","other rapeseed, turnist and mustard oil for producing food",t
1041 25 100,"Palmöl, roh, und seine Fraktionen, nicht chemisch modifiziert","Palm oil, raw, and its political groups, not chemically modified",t
1041 29 100,"Sonstige pflanzliche Öle a.n.g., nicht behandelt (z.B. Lein-, Soja-, Baumwollsaat-, Kokosöl)","Other vegetable oils A.N.G., not treated (e.g. linen, soy, cotton seed, coconut oil)",t
1041 30 000,Baumwoll-Linters,Cotton-Linter,t
1041 41 300,aus der Gewinnung von Sojaöl,From the extraction of soy oil,t
1041 41 500,aus der Gewinnung von Sonnenblumenkernen,From the extraction of sunflower seeds,t
1041 41 700,aus der Gewinnung von Raps- oder Rübsensamen,From the extraction of rapeseed or mutum seeds,t
1041 41 900,aus der Gewinnung von anderen pflanzlichen Fetten oder Ölen,From the extraction of other vegetable fats or oils,t
1041 42 000,Mehl von Ölsamen oder ölhaltigen Früchten (ohne Senfmehl),Flour of oil seeds or oil -containing fruits (without mustard flour),t
1041 51 000,Sojaöl und seine Fraktionen,Soy oil and its factions,t
1041 52 000,Erdnussöl und seine Fraktionen,Peanut oil and its factions,t
1041 53 100,"Raffiniertes Olivenöl und seine Fraktionen, nicht chemisch modifiziert","Refined olive oil and its factions, not chemically modified",t
1041 53 300,"Öle und ihre Fraktionen, ausschl. aus Oliven gewonnen (einschl. Mischungen dieser Öle mit nicht behandelten raffinierten Olivenölen, ohne rohe Öle, nicht behandelte Olivenöle und chemisch modifizierte Öle)","Oils and their factions, only obtained from olives (including mixtures of these oils with non -treated sophisticated olive oils, without raw oils, undisguised olive oils and chemically modified oils)",t
1041 54 000,Sonnenblumenöl sowie Safloröl (Distelöl) und seine Fraktionen,Sunflower oil as well as saflor oil (thistle oil) and its factions,t
1041 55 000,Baumwollsaatöl und seine Fraktionen,Cotton seed oil and its factions,t
1041 56 000,"Raps-, Rübsen- und Senföl sowie deren Fraktionen","Rapeseed, turnist and mustard oil as well as their factions",t
1041 57 000,Palmöl und seine Fraktionen,Palm oil and its political groups,t
1041 58 000,Kokosöl (Kopraöl) und seine Fraktionen,Coconut oil (Copra oil) and its factions,t
1041 59 000,"Andere Öle und ihre Fraktionen, raffiniert, jedoch nicht chemisch modifiziert; pflanzliche Fette u.a. pflanzliche Öle (ohne Maisöl) und ihre Fraktionen, a.n.g., raffiniert, jedoch nicht chemisch modifiziert","Other oils and their political groups, sophisticated, but not chemically modified; Vegetable fats, among other things, vegetable oils (without corn oil) and their factions, a.n.G., refined, but not chemically modified",t
1041 60 300,Tierische Fette und Öle,Animal fats and oils,t
1041 60 500,Pflanzliche Fette und Öle,Vegetable fats and oils,t
1041 71 000,Pflanzenwachse (ohne Triglyzeride),Plant waxes (without triglycerides),t
1041 72 000,Degras; Rückstände aus der Verarbeitung von Fettstoffen oder aus tierischen oder pflanzlichen Wachsen,Degras; Residues from the processing of fatty substances or from animal or herbal growth,t
1042 10 300,Margarine (ohne flüssige Margarine),Margarine (without liquid margarine),t
1042 10 500,Andere genießbare Zubereitungen aus Fetten und Ölen sowie flüssige Margarine,Other edible preparations from fats and oils as well as liquid margarine,t
1051 11 330,mit einem Inhalt von 2 l oder weniger,With a content of 2 l or less,1000 l
1051 11 370,andere,other,1000 l
1051 11 420,mit einem Inhalt von 2 l oder weniger,With a content of 2 l or less,1000 l
1051 11 480,andere,other,1000 l
1051 12 100,"mit einem Fettgehalt von mehr als 6 %, jedoch höchstens 21 %, weder eingedickt noch gesüßt, mit einem Inhalt von 2 l oder weniger","With a fat content of more than 6 %, but at most 21 %, neither thickened nor sweetened, with a content of 2 l or less",1000 l
1051 12 200,"mit einem Fettgehalt von mehr als 6 %, jedoch höchstens 21 %, weder eingedickt noch gesüßt, mit einem Inhalt von mehr als 2 l","With a fat content of more than 6 %, but at most 21 %, neither thickened nor sweetened, with a content of more than 2 l",1000 l
1051 12 300,"mit einem Fettgehalt von mehr als 21 %, weder eingedickt noch gesüßt, mit einem Inhalt von 2 l oder weniger","With a fat content of more than 21 %, neither thickened nor sweetened, with a content of 2 l or less",1000 l
1051 12 400,"mit einem Fettgehalt von mehr als 21 %, weder eingedickt noch gesüßt, mit einem Inhalt von mehr als 2 l","With a fat content of more than 21 %, neither thickened nor sweetened, with a content of more than 2 l",1000 l
1051 21 300,"in Gebinden von 2,5 kg oder weniger",in containers of 2.5 kg or less,t
1051 21 600,"in Gebinden von mehr als 2,5 kg",In containers of more than 2.5 kg,t
1051 22 300,"in Gebinden von 2,5 kg oder weniger",in containers of 2.5 kg or less,t
1051 22 600,"in Gebinden von mehr als 2,5 kg",In containers of more than 2.5 kg,t
1051 30 300,"Butter u.a. Fettstoffe aus der Milch, mit einem Fettgehalt von 85 % oder weniger","Butter, among other things, fats from the milk, with a fat content of 85 % or less",t
1051 30 500,"Butter u.a. Fettstoffe aus der Milch, mit einem Fettgehalt von mehr als 85 % (Butterschmalz)","Butter, among other things, fats from the milk, with a fat content of more than 85 % (butter wax)",t
1051 30 700,Milchstreichfette (Brotaufstriche auf der Grundlage von Milcherzeugnissen) mit einem Fettgehalt von weniger als 80 %,Milk -stroke fats (bread spreads based on milk products) with a fat content of less than 80 %,t
1051 40 300,Frischkäse (nicht gereifter Käse; einschl. Molkenkäse und Quark),Cream cheese (not mature cheese; including whey cheese and curd),t
1051 40 505,Käse mit Schimmelbildung im Teig,Cheese with mold formation in the dough,t
1051 40 508,"Anderer Käse, auch gerieben oder in Pulverform","Other cheese, also grated or in powder form",t
1051 40 700,"Schmelzkäse, weder gerieben noch in Pulverform","Melting cheese, neither grated nor in powder form",t
1051 51 040,"Eingedickte Milch, nicht gesüßt","Fucked milk, not sweetened",t
1051 51 080,"Eingedickte Milch, gesüßt","Fucked milk, sweetened",t
1051 52 413,"flüssig, ohne Geschmackszusätze und ohne Früchte, Nüsse oder Kakao","Liquid, without taste additives and without fruits, nuts or cocoa",t
1051 52 415,"in Pulverform, granuliert oder in anderer fester Form","in powder form, granulated or in a different solid form",t
1051 52 450,"flüssig, mit Geschmackszusätzen oder mit Früchten, Nüssen oder Kakao","liquid, with taste additives or with fruits, nuts or cocoa",t
1051 52 630,in Pulverform,powder,t
1051 52 650,flüssig,fluid,t
1051 53 000,Casein,Casein,t
1051 54 000,Lactose und Lactosesirup,Lactose and lactose syrup,t
1051 55 300,"Molke in Form von Pulver und Granulat oder in anderer fester Form, auch gesüßt","Molke in the form of powder and granulate or in a different solid form, also sweetened",t
1051 55 600,"Molke in flüssiger oder pastöser Form, auch konzentriert oder gesüßt","Molke in liquid or pasty shape, also concentrated or sweetened",t
1051 56 000,"Erzeugnisse aus natürlichen Milchbestandteilen, a.n.g.","Products from natural milk components, A.N.G.",t
1052 10 000,"Speiseeis, auch kakaohaltig (einschl. Sorbets, Eis am Stiel), (ohne Mischungen und Vorprodukte für Speiseeis)","People's ice cream, also containing cocoa (including sorbets, ice cream on the stem), (without mixtures and pre -products for ice cream)",l
1061 11 000,Geschälter Reis (Cargo-Reis oder Braunreis),Sied rice (cargo rice or brown rice),t
1061 12 300,Halbgeschliffener oder vollständig geschliffener Reis,Half -ground or completely sanded rice,t
1061 12 500,Bruchreis,Ride,t
1061 21 000,Mehl von Weizen oder Mengkorn,Flour from wheat or mengkorn,t
1061 22 000,"Mehl von anderem Getreide als Weizen oder Mengkorn (z.B. Roggen, Mais, Reis, Gerste, Hafer)","Flour from other grain as wheat or mengkorn (e.g. rye, corn, rice, barley, oats)",t
1061 23 000,"Mehl und Grieß von trockenen Hülsenfrüchten, von Sagomark, Maniok o.ä. Wurzeln und Knollen mit hohem Stärke- oder Inulingehalt und von Früchten oder Nüssen","Flour and semolina of dry legumes, from Sagomark, Maniok or similar roots and tubers with high strength or inuling content and fruits or nuts",t
1061 24 001,"Backzutaten (z.B. Eiaustauschstoffe, Roggenröstmehl)","Back ingredients (e.g. egg replacement substances, rye roasting flour)",t
1061 24 003,"Backfertiger Teig für Brot und feine Backwaren (z.B. Blätter-, Hefe-, Printenteig, rohe Teiglinge für Brötchen, Hörnchen u.dgl.), nicht vorgebacken","Back-ready dough for bread and fine baked goods (e.g. leaf, yeast, print dough, raw dough pieces for rolls, croissants, etc.), not baked",t
1061 24 005,Fertigmehl für Brot und Kleingebäck aus Brotteig,Prefabricated flour for bread and small biscuits made of bread dough,t
1061 24 006,Fertigmehl für feine Backwaren,Pre -finished flour for fine baked goods,t
1061 24 009,"Andere Mischungen und Teig, zum Herstellen von Backwaren","Other mixtures and dough, for making baked goods",t
1061 31 330,von Hartweizen,Harti,t
1061 31 350,von Weichweizen und Spelz (Dinkel),of soft wheat and spelled (spelled),t
1061 32 300,Grobgrieß und Feingrieß von anderem Getreide,Coarse semolina and fine semolina of other grain,t
1061 32 400,Pellets von Weizen,Pellets from wheat,t
1061 32 500,Pellets von anderem Getreide,Pellets from other grain,t
1061 33 330,"Getreidekörner, gequetscht, als Flocken o.a. bearbeitet","Cereal grains, squeezed, edited as flakes or similar",t
